game_id,date,home_team,home_score,away_team,away_score,win_score,lose_score,win_team,lose_team,win_points,lose_points,win_point_diff,lose_point_diff
2792,2018-08-30,Russia,3,Kazakhstan,0,3,0,Russia,Kazakhstan,1702,1353,349,-349
2793,2018-08-30,Scotland,2,Switzerland,1,2,1,Scotland,Switzerland,1801,1861,-60,60
2794,2018-08-30,Sweden,3,Ukraine,0,3,0,Sweden,Ukraine,1941,1731,210,-210
2795,2018-08-30,Denmark,1,Croatia,1,1,1,Denmark,Croatia,1903,1425,478,-478
2796,2018-08-30,Moldova,0,Portugal,7,7,0,Portugal,Moldova,1644,1228,416,-416
2797,2018-08-31,El Salvador,2,Nicaragua,2,2,2,El Salvador,Nicaragua,1198,1073,125,-125
2798,2018-08-31,Costa Rica,3,Panama,1,3,1,Costa Rica,Panama,1645,1363,282,-282
2799,2018-08-31,Antigua and Barbuda,0,Bermuda,5,5,0,Bermuda,Antigua and Barbuda,984,798,186,-186
2800,2018-08-31,Jamaica,4,Trinidad and Tobago,1,4,1,Jamaica,Trinidad and Tobago,1348,1473,-125,125
2801,2018-08-31,Wales,0,England,3,3,0,England,Wales,2026,1679,347,-347
2802,2018-08-31,Belarus,1,Poland,4,4,1,Poland,Belarus,1629,1431,198,-198
2803,2018-08-31,Republic of Ireland,4,Northern Ireland,0,4,0,Republic of Ireland,Northern Ireland,1664,1419,245,-245
2804,2018-08-31,Slovakia,0,Norway,4,4,0,Norway,Slovakia,1887,1503,384,-384
2805,2018-08-31,Czech Republic,2,Slovenia,0,2,0,Czech Republic,Slovenia,1648,1423,225,-225
2806,2018-08-31,Romania,0,Belgium,1,1,0,Belgium,Romania,1773,1567,206,-206
2807,2018-08-31,Spain,5,Finland,1,5,1,Spain,Finland,1911,1678,233,-233
2808,2018-09-01,USA,3,Chile,0,3,0,USA,Chile,2114,1594,520,-520
2809,2018-09-01,Iceland,0,Germany,2,2,0,Germany,Iceland,2049,1823,226,-226
2810,2018-09-02,Bermuda,0,Trinidad and Tobago,3,3,0,Trinidad and Tobago,Bermuda,1473,984,489,-489
2811,2018-09-02,Jamaica,6,Cuba,1,6,1,Jamaica,Cuba,1348,1241,107,-107
